,0,1,2,3,4,5,6,7,8,9,labels
0,0.0,0.0,1.0,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,-1.0
1,0.0,0.0,1.0,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,-1.0
2,0.0,0.0,1.0,0.59,0.445,0.14,0.931,0.35600000000000004,0.234,0.28,-1.0
3,0.0,0.0,1.0,0.58,0.46,0.13,0.921,0.35700000000000004,0.181,0.29,-1.0
4,1.0,0.0,0.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,-1.0
5,0.0,0.0,1.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,-1.0
6,0.0,1.0,0.0,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,-1.0
7,1.0,0.0,0.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,-1.0
8,0.0,0.0,1.0,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,-1.0
9,1.0,0.0,0.0,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,-1.0
10,0.0,0.0,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,-1.0
11,0.0,0.0,1.0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,-1.0
12,0.0,0.0,1.0,0.565,0.47,0.195,1.142,0.387,0.258,0.35,-1.0
13,1.0,0.0,0.0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,-1.0
14,0.0,0.0,1.0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,-1.0
15,0.0,0.0,1.0,0.65,0.52,0.195,1.676,0.693,0.44,0.47,-1.0
16,1.0,0.0,0.0,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,-1.0
17,1.0,0.0,0.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,-1.0
18,1.0,0.0,0.0,0.485,0.4,0.155,0.731,0.236,0.183,0.255,-1.0
19,0.0,0.0,1.0,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,-1.0
20,1.0,0.0,0.0,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,-1.0
21,0.0,0.0,1.0,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,-1.0
22,0.0,0.0,1.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,-1.0
23,0.0,0.0,1.0,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,-1.0
24,0.0,1.0,0.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26,-1.0
25,0.0,0.0,1.0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,-1.0
26,1.0,0.0,0.0,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,-1.0
27,1.0,0.0,0.0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,-1.0
28,0.0,0.0,1.0,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29,-1.0
29,1.0,0.0,0.0,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,-1.0
30,0.0,0.0,1.0,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,-1.0
31,0.0,0.0,1.0,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,-1.0
32,1.0,0.0,0.0,0.615,0.525,0.155,1.0385,0.4270000000000001,0.2315,0.345,-1.0
33,0.0,0.0,1.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,-1.0
34,1.0,0.0,0.0,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,-1.0
35,0.0,0.0,1.0,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,-1.0
36,1.0,0.0,0.0,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,-1.0
37,1.0,0.0,0.0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,-1.0
38,0.0,0.0,1.0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,-1.0
39,0.0,0.0,1.0,0.75,0.55,0.18,1.893,0.942,0.397,0.445,-1.0
40,0.0,0.0,1.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,-1.0
41,1.0,0.0,0.0,0.515,0.4,0.17,0.7959999999999999,0.258,0.1755,0.28,-1.0
42,1.0,0.0,0.0,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,-1.0
43,1.0,0.0,0.0,0.625,0.52,0.18,1.354,0.4845,0.35100000000000003,0.375,-1.0
44,0.0,0.0,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,-1.0
45,0.0,1.0,0.0,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,-1.0
46,0.0,0.0,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,-1.0
47,1.0,0.0,0.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,-1.0
48,0.0,0.0,1.0,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,-1.0
49,0.0,0.0,1.0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,-1.0
50,0.0,0.0,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,-1.0
51,0.0,0.0,1.0,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,-1.0
52,0.0,0.0,1.0,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,-1.0
53,0.0,0.0,1.0,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,-1.0
54,0.0,0.0,1.0,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,-1.0
55,0.0,0.0,1.0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,-1.0
56,1.0,0.0,0.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,-1.0
57,1.0,0.0,0.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,-1.0
58,1.0,0.0,0.0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,-1.0
59,1.0,0.0,0.0,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,-1.0
60,0.0,0.0,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,-1.0
61,0.0,0.0,1.0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,-1.0
62,0.0,0.0,1.0,0.64,0.505,0.155,1.1955,0.5565,0.211,0.34600000000000003,-1.0
63,1.0,0.0,0.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,-1.0
64,0.0,1.0,0.0,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,-1.0
