,0,1,2,3,4,5,6,7,8,9,labels
0,0.0,0.0,1.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,-1.0
1,1.0,0.0,0.0,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,-1.0
2,1.0,0.0,0.0,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,-1.0
3,0.0,0.0,1.0,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,-1.0
4,0.0,0.0,1.0,0.655,0.515,0.2,1.3730000000000002,0.443,0.3375,0.49,-1.0
5,0.0,0.0,1.0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,-1.0
6,1.0,0.0,0.0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,-1.0
7,1.0,0.0,0.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,-1.0
8,1.0,0.0,0.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,-1.0
9,0.0,0.0,1.0,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,-1.0
10,1.0,0.0,0.0,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,-1.0
11,1.0,0.0,0.0,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,-1.0
12,1.0,0.0,0.0,0.62,0.5,0.175,1.146,0.477,0.23,0.39,-1.0
13,1.0,0.0,0.0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,-1.0
14,1.0,0.0,0.0,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,-1.0
15,1.0,0.0,0.0,0.525,0.405,0.16,0.6579999999999999,0.2655,0.1125,0.225,-1.0
16,0.0,0.0,1.0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,-1.0
17,0.0,0.0,1.0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,-1.0
18,1.0,0.0,0.0,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,-1.0
19,1.0,0.0,0.0,0.63,0.515,0.16,1.336,0.5529999999999999,0.3205,0.35,-1.0
20,0.0,0.0,1.0,0.685,0.535,0.175,1.432,0.637,0.247,0.46,-1.0
21,1.0,0.0,0.0,0.62,0.54,0.165,1.139,0.4995,0.2435,0.35700000000000004,-1.0
22,1.0,0.0,0.0,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,-1.0
23,1.0,0.0,0.0,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,-1.0
24,0.0,0.0,1.0,0.64,0.51,0.19,1.6130000000000002,0.6215,0.361,0.47,-1.0
25,1.0,0.0,0.0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,-1.0
26,0.0,0.0,1.0,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,-1.0
27,1.0,0.0,0.0,0.67,0.52,0.15,1.406,0.519,0.348,0.37,-1.0
28,1.0,0.0,0.0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,-1.0
29,0.0,0.0,1.0,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,-1.0
30,0.0,0.0,1.0,0.51,0.395,0.145,0.6185,0.21600000000000005,0.1385,0.24,-1.0
31,1.0,0.0,0.0,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,-1.0
32,1.0,0.0,0.0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,-1.0
33,0.0,1.0,0.0,0.615,0.46,0.19,1.0659999999999998,0.4335,0.226,0.33,-1.0
34,0.0,0.0,1.0,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,-1.0
35,1.0,0.0,0.0,0.475,0.38,0.145,0.57,0.16699999999999998,0.118,0.187,-1.0
36,1.0,0.0,0.0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,-1.0
37,0.0,0.0,1.0,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,-1.0
38,0.0,0.0,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,-1.0
39,1.0,0.0,0.0,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444,-1.0
40,1.0,0.0,0.0,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,-1.0
41,1.0,0.0,0.0,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,-1.0
42,0.0,0.0,1.0,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,-1.0
43,0.0,0.0,1.0,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,-1.0
44,0.0,0.0,1.0,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,-1.0
45,1.0,0.0,0.0,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,-1.0
