,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,labels
0,67.0,77.0,86.0,64.0,67.0,77.0,82.0,60.0,67.0,77.0,75.0,60.0,67.0,79.0,82.0,62.0,63.0,71.0,78.0,62.0,63.0,75.0,78.0,55.0,68.0,77.0,78.0,61.0,64.0,77.0,74.0,57.0,64.0,77.0,74.0,57.0,-1.0
1,66.0,75.0,80.0,66.0,66.0,71.0,80.0,63.0,70.0,79.0,84.0,66.0,71.0,73.0,75.0,60.0,71.0,73.0,79.0,64.0,67.0,73.0,72.0,60.0,70.0,84.0,93.0,76.0,70.0,84.0,85.0,69.0,67.0,75.0,78.0,58.0,-1.0
2,63.0,75.0,77.0,62.0,67.0,79.0,81.0,62.0,67.0,72.0,77.0,58.0,63.0,67.0,73.0,59.0,66.0,75.0,76.0,63.0,70.0,79.0,84.0,66.0,63.0,70.0,68.0,57.0,63.0,66.0,68.0,57.0,67.0,77.0,75.0,64.0,-1.0
3,63.0,75.0,81.0,62.0,67.0,72.0,77.0,62.0,67.0,68.0,74.0,58.0,70.0,79.0,84.0,70.0,66.0,71.0,73.0,63.0,63.0,63.0,66.0,55.0,67.0,73.0,79.0,68.0,67.0,73.0,79.0,64.0,63.0,66.0,68.0,57.0,-1.0
4,70.0,71.0,73.0,55.0,66.0,71.0,73.0,59.0,70.0,75.0,80.0,59.0,71.0,77.0,72.0,64.0,71.0,81.0,82.0,64.0,71.0,81.0,86.0,68.0,70.0,79.0,85.0,65.0,70.0,79.0,85.0,69.0,74.0,79.0,82.0,65.0,-1.0
5,68.0,75.0,83.0,63.0,71.0,79.0,87.0,63.0,71.0,83.0,83.0,63.0,71.0,79.0,81.0,67.0,71.0,79.0,85.0,62.0,71.0,79.0,85.0,62.0,66.0,75.0,80.0,63.0,66.0,79.0,80.0,63.0,66.0,79.0,76.0,63.0,-1.0
6,76.0,81.0,90.0,65.0,72.0,77.0,78.0,65.0,72.0,81.0,78.0,65.0,68.0,79.0,83.0,67.0,71.0,75.0,83.0,67.0,71.0,79.0,87.0,70.0,71.0,75.0,85.0,67.0,71.0,79.0,81.0,67.0,75.0,79.0,85.0,67.0,-1.0
7,66.0,79.0,84.0,63.0,66.0,79.0,80.0,59.0,74.0,79.0,84.0,66.0,71.0,84.0,86.0,64.0,67.0,81.0,82.0,64.0,67.0,77.0,82.0,64.0,63.0,75.0,85.0,65.0,70.0,84.0,82.0,65.0,67.0,84.0,82.0,65.0,-1.0
8,67.0,77.0,72.0,60.0,71.0,77.0,72.0,64.0,71.0,81.0,82.0,64.0,70.0,79.0,82.0,65.0,70.0,79.0,85.0,65.0,70.0,79.0,85.0,69.0,68.0,77.0,78.0,61.0,72.0,81.0,82.0,65.0,72.0,81.0,82.0,65.0,-1.0
9,70.0,79.0,97.0,80.0,78.0,92.0,97.0,76.0,82.0,102.0,105.0,76.0,68.0,77.0,82.0,61.0,68.0,81.0,90.0,68.0,76.0,85.0,94.0,76.0,68.0,75.0,75.0,59.0,68.0,75.0,83.0,59.0,71.0,79.0,83.0,67.0,-1.0
10,71.0,75.0,87.0,67.0,71.0,75.0,79.0,63.0,68.0,79.0,83.0,67.0,71.0,79.0,85.0,67.0,75.0,79.0,81.0,67.0,71.0,79.0,85.0,62.0,74.0,83.0,84.0,70.0,74.0,79.0,80.0,66.0,70.0,75.0,76.0,63.0,-1.0
11,76.0,81.0,82.0,65.0,72.0,85.0,86.0,68.0,72.0,81.0,86.0,68.0,76.0,79.0,79.0,67.0,71.0,83.0,87.0,63.0,71.0,83.0,83.0,70.0,71.0,79.0,85.0,62.0,71.0,79.0,85.0,67.0,71.0,83.0,85.0,67.0,-1.0
12,71.0,75.0,85.0,67.0,71.0,79.0,77.0,67.0,71.0,75.0,81.0,67.0,78.0,83.0,84.0,70.0,74.0,75.0,88.0,66.0,70.0,79.0,88.0,66.0,79.0,88.0,97.0,72.0,71.0,81.0,86.0,68.0,71.0,77.0,82.0,64.0,-1.0
13,71.0,79.0,81.0,62.0,67.0,79.0,77.0,58.0,67.0,79.0,77.0,58.0,78.0,91.0,96.0,74.0,66.0,79.0,84.0,66.0,66.0,79.0,80.0,63.0,79.0,91.0,93.0,72.0,71.0,81.0,82.0,64.0,71.0,81.0,90.0,68.0,-1.0
14,70.0,75.0,76.0,63.0,70.0,79.0,84.0,66.0,74.0,87.0,92.0,74.0,71.0,77.0,75.0,64.0,71.0,77.0,82.0,68.0,71.0,88.0,93.0,72.0,74.0,88.0,89.0,69.0,70.0,79.0,85.0,65.0,67.0,79.0,82.0,65.0,-1.0
15,71.0,83.0,85.0,62.0,75.0,83.0,89.0,67.0,75.0,91.0,96.0,75.0,70.0,79.0,80.0,63.0,70.0,79.0,80.0,63.0,70.0,79.0,80.0,63.0,71.0,81.0,82.0,64.0,71.0,81.0,82.0,64.0,71.0,81.0,82.0,64.0,-1.0
16,72.0,81.0,86.0,68.0,72.0,77.0,78.0,61.0,64.0,73.0,74.0,57.0,71.0,79.0,83.0,67.0,71.0,79.0,79.0,67.0,71.0,83.0,79.0,63.0,75.0,83.0,89.0,71.0,75.0,79.0,89.0,71.0,71.0,79.0,85.0,67.0,-1.0
17,68.0,75.0,75.0,63.0,68.0,83.0,87.0,70.0,76.0,91.0,100.0,81.0,67.0,68.0,77.0,58.0,67.0,72.0,77.0,62.0,75.0,87.0,96.0,79.0,63.0,67.0,69.0,55.0,59.0,67.0,66.0,55.0,63.0,67.0,66.0,55.0,-1.0
