,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,labels
0,4.0,6.0,4.0,4.0,3.0,6.0,7.0,8.0,6.0,7.0,6.0,6.0,2.0,8.0,9.0,10.0,-1.0
1,6.0,10.0,8.0,7.0,7.0,7.0,9.0,7.0,5.0,7.0,5.0,5.0,5.0,9.0,7.0,6.0,-1.0
2,2.0,4.0,3.0,2.0,2.0,10.0,7.0,2.0,6.0,10.0,4.0,6.0,2.0,8.0,4.0,10.0,-1.0
3,4.0,8.0,6.0,6.0,4.0,8.0,8.0,4.0,7.0,10.0,5.0,6.0,2.0,8.0,6.0,10.0,-1.0
4,3.0,7.0,3.0,5.0,3.0,6.0,8.0,9.0,6.0,6.0,5.0,7.0,2.0,8.0,8.0,9.0,-1.0
5,5.0,9.0,7.0,7.0,10.0,9.0,9.0,5.0,4.0,7.0,8.0,6.0,6.0,10.0,10.0,10.0,-1.0
6,5.0,11.0,7.0,8.0,9.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,2.0,8.0,6.0,9.0,-1.0
7,4.0,5.0,5.0,7.0,4.0,7.0,7.0,10.0,7.0,7.0,6.0,8.0,2.0,8.0,9.0,9.0,-1.0
8,4.0,8.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,9.0,6.0,6.0,3.0,8.0,7.0,8.0,-1.0
9,5.0,10.0,7.0,8.0,7.0,8.0,8.0,4.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0,9.0,-1.0
10,5.0,10.0,8.0,7.0,8.0,9.0,6.0,4.0,6.0,9.0,5.0,7.0,2.0,8.0,6.0,10.0,-1.0
11,7.0,10.0,9.0,8.0,7.0,9.0,7.0,4.0,7.0,10.0,5.0,6.0,2.0,8.0,6.0,10.0,-1.0
12,4.0,7.0,5.0,5.0,4.0,9.0,7.0,5.0,8.0,7.0,6.0,5.0,2.0,8.0,6.0,9.0,-1.0
13,5.0,10.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,7.0,10.0,-1.0
14,2.0,0.0,2.0,1.0,1.0,7.0,8.0,7.0,5.0,7.0,6.0,7.0,1.0,8.0,7.0,8.0,-1.0
15,4.0,6.0,5.0,4.0,4.0,8.0,7.0,5.0,6.0,9.0,6.0,6.0,2.0,8.0,6.0,9.0,-1.0
16,5.0,11.0,5.0,8.0,7.0,6.0,7.0,8.0,5.0,6.0,6.0,7.0,2.0,8.0,8.0,9.0,-1.0
17,4.0,3.0,4.0,5.0,3.0,6.0,7.0,8.0,6.0,7.0,6.0,6.0,2.0,8.0,9.0,10.0,-1.0
18,1.0,0.0,2.0,0.0,1.0,7.0,8.0,6.0,4.0,7.0,6.0,7.0,1.0,8.0,6.0,8.0,-1.0
19,3.0,5.0,3.0,4.0,3.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,2.0,8.0,6.0,10.0,-1.0
20,1.0,3.0,2.0,2.0,1.0,8.0,7.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,9.0,-1.0
21,3.0,6.0,3.0,4.0,3.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,2.0,8.0,8.0,9.0,-1.0
22,2.0,6.0,3.0,4.0,3.0,6.0,6.0,8.0,5.0,6.0,7.0,7.0,2.0,9.0,6.0,10.0,-1.0
23,2.0,4.0,3.0,2.0,2.0,9.0,7.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,9.0,-1.0
24,4.0,8.0,4.0,6.0,4.0,6.0,9.0,9.0,7.0,7.0,5.0,7.0,2.0,8.0,9.0,10.0,-1.0
25,3.0,7.0,4.0,5.0,3.0,6.0,6.0,9.0,7.0,6.0,6.0,7.0,2.0,8.0,9.0,9.0,-1.0
26,4.0,10.0,5.0,8.0,7.0,6.0,8.0,8.0,5.0,7.0,5.0,7.0,2.0,8.0,7.0,9.0,-1.0
27,2.0,4.0,3.0,2.0,2.0,8.0,7.0,3.0,5.0,9.0,6.0,6.0,2.0,8.0,4.0,8.0,-1.0
28,4.0,9.0,6.0,6.0,5.0,6.0,9.0,5.0,6.0,10.0,6.0,5.0,3.0,8.0,7.0,8.0,-1.0
29,3.0,7.0,3.0,5.0,4.0,6.0,6.0,8.0,5.0,6.0,7.0,7.0,2.0,9.0,7.0,10.0,-1.0
30,0.0,0.0,1.0,0.0,0.0,6.0,7.0,6.0,4.0,7.0,6.0,8.0,1.0,8.0,5.0,10.0,-1.0
31,4.0,9.0,4.0,7.0,3.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,2.0,8.0,9.0,10.0,-1.0
32,3.0,6.0,4.0,4.0,4.0,7.0,7.0,4.0,6.0,7.0,6.0,6.0,2.0,8.0,5.0,10.0,-1.0
33,1.0,3.0,3.0,2.0,2.0,9.0,6.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,9.0,-1.0
34,7.0,12.0,6.0,6.0,6.0,8.0,7.0,4.0,5.0,9.0,6.0,8.0,6.0,8.0,8.0,8.0,-1.0
35,5.0,5.0,5.0,8.0,4.0,6.0,8.0,9.0,7.0,7.0,5.0,7.0,2.0,8.0,9.0,10.0,-1.0
36,3.0,7.0,3.0,5.0,3.0,6.0,7.0,9.0,6.0,7.0,6.0,7.0,2.0,8.0,8.0,10.0,-1.0
