,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,labels
0,0.0,78.0,28.0,100.0,58.0,88.0,45.0,56.0,24.0,28.0,12.0,1.0,55.0,0.0,100.0,2.0,-1.0
1,0.0,75.0,21.0,100.0,52.0,81.0,46.0,44.0,17.0,18.0,28.0,24.0,65.0,12.0,100.0,0.0,-1.0
2,36.0,89.0,73.0,100.0,75.0,74.0,48.0,51.0,14.0,30.0,0.0,10.0,51.0,8.0,100.0,0.0,-1.0
3,44.0,100.0,65.0,100.0,54.0,62.0,30.0,32.0,0.0,10.0,29.0,7.0,64.0,1.0,100.0,0.0,-1.0
4,0.0,78.0,31.0,100.0,66.0,77.0,58.0,34.0,20.0,12.0,15.0,21.0,58.0,13.0,100.0,0.0,-1.0
5,0.0,70.0,34.0,93.0,82.0,100.0,93.0,72.0,67.0,44.0,33.0,20.0,49.0,3.0,100.0,0.0,-1.0
6,14.0,65.0,35.0,100.0,64.0,79.0,48.0,41.0,16.0,11.0,0.0,8.0,50.0,9.0,100.0,0.0,-1.0
7,0.0,65.0,24.0,98.0,63.0,100.0,55.0,61.0,26.0,29.0,19.0,0.0,59.0,1.0,100.0,6.0,-1.0
8,0.0,83.0,13.0,100.0,43.0,80.0,29.0,51.0,2.0,25.0,3.0,1.0,51.0,0.0,100.0,4.0,-1.0
9,0.0,81.0,33.0,100.0,52.0,79.0,36.0,49.0,12.0,22.0,7.0,0.0,53.0,4.0,100.0,7.0,-1.0
10,22.0,90.0,67.0,100.0,87.0,80.0,61.0,57.0,30.0,34.0,0.0,12.0,41.0,0.0,100.0,1.0,-1.0
11,64.0,81.0,59.0,100.0,100.0,98.0,78.0,53.0,42.0,18.0,0.0,6.0,47.0,13.0,95.0,0.0,-1.0
12,37.0,100.0,57.0,91.0,47.0,50.0,22.0,20.0,0.0,17.0,33.0,17.0,66.0,4.0,100.0,0.0,-1.0
13,46.0,85.0,42.0,100.0,52.0,73.0,32.0,41.0,0.0,16.0,21.0,7.0,62.0,0.0,100.0,17.0,-1.0
14,47.0,66.0,50.0,100.0,92.0,98.0,78.0,55.0,47.0,18.0,0.0,0.0,46.0,19.0,100.0,0.0,-1.0
15,51.0,91.0,86.0,100.0,70.0,66.0,43.0,34.0,8.0,6.0,0.0,11.0,49.0,10.0,100.0,0.0,-1.0
16,65.0,82.0,93.0,100.0,93.0,71.0,69.0,44.0,36.0,20.0,0.0,0.0,48.0,12.0,100.0,16.0,-1.0
17,0.0,83.0,26.0,100.0,45.0,80.0,27.0,52.0,6.0,27.0,29.0,10.0,65.0,5.0,100.0,0.0,-1.0
18,44.0,73.0,66.0,100.0,100.0,88.0,74.0,57.0,33.0,32.0,0.0,21.0,53.0,19.0,99.0,0.0,-1.0
19,3.0,74.0,21.0,100.0,26.0,66.0,10.0,32.0,0.0,0.0,34.0,0.0,67.0,6.0,100.0,6.0,-1.0
20,10.0,87.0,55.0,100.0,71.0,71.0,40.0,38.0,2.0,9.0,0.0,0.0,50.0,8.0,100.0,0.0,-1.0
21,49.0,73.0,69.0,100.0,100.0,77.0,82.0,40.0,47.0,11.0,0.0,0.0,43.0,11.0,95.0,11.0,-1.0
22,0.0,80.0,17.0,100.0,41.0,99.0,60.0,83.0,53.0,52.0,56.0,20.0,77.0,7.0,100.0,0.0,-1.0
23,16.0,88.0,47.0,100.0,50.0,69.0,28.0,38.0,0.0,13.0,23.0,1.0,62.0,1.0,100.0,0.0,-1.0
24,0.0,90.0,32.0,100.0,48.0,77.0,34.0,52.0,12.0,30.0,12.0,8.0,56.0,4.0,100.0,0.0,-1.0
25,0.0,84.0,28.0,100.0,43.0,75.0,29.0,45.0,12.0,15.0,28.0,0.0,64.0,2.0,100.0,7.0,-1.0
26,21.0,76.0,39.0,100.0,45.0,67.0,27.0,29.0,0.0,0.0,25.0,2.0,63.0,1.0,100.0,2.0,-1.0
27,33.0,64.0,36.0,100.0,59.0,71.0,44.0,34.0,0.0,18.0,32.0,26.0,71.0,0.0,100.0,22.0,-1.0
28,0.0,76.0,28.0,100.0,48.0,75.0,34.0,43.0,11.0,13.0,16.0,0.0,57.0,3.0,100.0,3.0,-1.0
29,0.0,93.0,41.0,100.0,61.0,77.0,34.0,52.0,0.0,30.0,4.0,10.0,51.0,3.0,100.0,0.0,-1.0
30,2.0,85.0,28.0,100.0,53.0,81.0,31.0,54.0,0.0,35.0,35.0,35.0,67.0,17.0,100.0,0.0,-1.0
31,0.0,69.0,2.0,99.0,41.0,100.0,56.0,72.0,35.0,42.0,23.0,11.0,60.0,0.0,100.0,1.0,-1.0
32,0.0,83.0,30.0,100.0,78.0,96.0,100.0,74.0,70.0,51.0,37.0,30.0,35.0,7.0,83.0,0.0,-1.0
33,0.0,83.0,43.0,100.0,89.0,85.0,75.0,57.0,42.0,32.0,0.0,11.0,35.0,0.0,100.0,0.0,-1.0
34,22.0,69.0,40.0,100.0,79.0,87.0,69.0,52.0,41.0,22.0,0.0,0.0,46.0,2.0,100.0,0.0,-1.0
35,42.0,73.0,53.0,100.0,94.0,83.0,79.0,49.0,43.0,21.0,0.0,0.0,47.0,10.0,100.0,14.0,-1.0
36,12.0,75.0,46.0,100.0,66.0,74.0,41.0,42.0,6.0,14.0,0.0,15.0,51.0,11.0,100.0,0.0,-1.0
37,2.0,76.0,35.0,100.0,76.0,86.0,57.0,52.0,18.0,26.0,0.0,14.0,51.0,11.0,100.0,0.0,-1.0
38,0.0,76.0,24.0,100.0,65.0,97.0,61.0,63.0,40.0,31.0,6.0,5.0,51.0,2.0,100.0,0.0,-1.0
39,7.0,51.0,31.0,90.0,93.0,100.0,99.0,58.0,59.0,21.0,0.0,0.0,35.0,17.0,100.0,5.0,-1.0
40,19.0,76.0,34.0,100.0,41.0,66.0,27.0,32.0,0.0,7.0,25.0,3.0,63.0,0.0,100.0,6.0,-1.0
41,14.0,67.0,29.0,100.0,54.0,72.0,35.0,32.0,0.0,4.0,17.0,10.0,59.0,0.0,100.0,3.0,-1.0
42,27.0,84.0,58.0,100.0,76.0,68.0,57.0,34.0,16.0,13.0,0.0,9.0,50.0,5.0,100.0,0.0,-1.0
43,36.0,60.0,40.0,100.0,57.0,68.0,36.0,29.0,0.0,3.0,15.0,8.0,59.0,0.0,100.0,10.0,-1.0
44,15.0,75.0,38.0,100.0,55.0,68.0,37.0,33.0,3.0,6.0,0.0,3.0,50.0,5.0,100.0,0.0,-1.0
45,34.0,76.0,59.0,100.0,66.0,73.0,37.0,46.0,0.0,23.0,19.0,13.0,61.0,0.0,100.0,20.0,-1.0
46,36.0,63.0,52.0,100.0,52.0,48.0,29.0,6.0,0.0,0.0,30.0,15.0,65.0,3.0,100.0,1.0,-1.0
47,35.0,84.0,63.0,100.0,92.0,81.0,65.0,54.0,32.0,30.0,0.0,6.0,48.0,1.0,100.0,0.0,-1.0
48,19.0,65.0,24.0,100.0,46.0,81.0,27.0,45.0,0.0,12.0,10.0,1.0,56.0,0.0,100.0,4.0,-1.0
49,23.0,63.0,31.0,100.0,64.0,84.0,54.0,45.0,28.0,10.0,0.0,5.0,50.0,3.0,100.0,0.0,-1.0
50,0.0,73.0,28.0,100.0,69.0,100.0,60.0,68.0,36.0,38.0,11.0,9.0,51.0,0.0,100.0,6.0,-1.0
51,44.0,85.0,76.0,100.0,79.0,70.0,54.0,41.0,23.0,16.0,0.0,0.0,50.0,5.0,100.0,1.0,-1.0
52,0.0,84.0,36.0,100.0,53.0,79.0,28.0,50.0,7.0,22.0,27.0,0.0,76.0,5.0,100.0,14.0,-1.0
53,14.0,74.0,36.0,100.0,77.0,93.0,53.0,58.0,18.0,29.0,0.0,15.0,50.0,9.0,100.0,0.0,-1.0
54,5.0,84.0,38.0,100.0,53.0,73.0,32.0,42.0,0.0,19.0,29.0,32.0,69.0,23.0,100.0,0.0,-1.0
55,15.0,85.0,53.0,100.0,78.0,79.0,47.0,53.0,4.0,34.0,0.0,20.0,49.0,9.0,100.0,0.0,-1.0
56,0.0,63.0,23.0,93.0,78.0,100.0,89.0,69.0,54.0,41.0,11.0,16.0,41.0,4.0,100.0,0.0,-1.0
57,35.0,76.0,55.0,100.0,72.0,70.0,43.0,33.0,0.0,9.0,15.0,13.0,64.0,0.0,100.0,13.0,-1.0
58,0.0,88.0,27.0,100.0,49.0,74.0,39.0,41.0,16.0,16.0,36.0,4.0,68.0,0.0,100.0,0.0,-1.0
59,38.0,85.0,36.0,100.0,49.0,70.0,32.0,39.0,0.0,17.0,23.0,1.0,64.0,0.0,100.0,16.0,-1.0
60,13.0,65.0,26.0,100.0,53.0,72.0,38.0,29.0,0.0,0.0,1.0,4.0,50.0,6.0,100.0,1.0,-1.0
61,54.0,75.0,36.0,100.0,78.0,94.0,62.0,55.0,25.0,26.0,0.0,11.0,49.0,4.0,100.0,0.0,-1.0
62,0.0,78.0,23.0,100.0,52.0,88.0,39.0,62.0,25.0,37.0,11.0,12.0,47.0,0.0,100.0,4.0,-1.0
63,24.0,64.0,38.0,100.0,68.0,92.0,48.0,56.0,17.0,25.0,0.0,5.0,51.0,0.0,100.0,9.0,-1.0
64,35.0,80.0,69.0,100.0,66.0,58.0,39.0,24.0,0.0,0.0,9.0,13.0,54.0,13.0,100.0,7.0,-1.0
65,29.0,72.0,45.0,100.0,78.0,78.0,60.0,41.0,25.0,12.0,0.0,4.0,50.0,6.0,100.0,0.0,-1.0
66,0.0,65.0,16.0,93.0,49.0,100.0,65.0,77.0,48.0,45.0,36.0,11.0,66.0,0.0,100.0,1.0,-1.0
67,16.0,86.0,44.0,100.0,35.0,59.0,12.0,25.0,0.0,4.0,33.0,3.0,66.0,1.0,100.0,0.0,-1.0
68,49.0,74.0,56.0,100.0,76.0,75.0,50.0,37.0,14.0,6.0,0.0,8.0,50.0,9.0,100.0,0.0,-1.0
69,14.0,88.0,62.0,100.0,97.0,86.0,70.0,62.0,34.0,42.0,0.0,20.0,45.0,6.0,100.0,0.0,-1.0
70,12.0,63.0,37.0,100.0,61.0,76.0,37.0,36.0,5.0,1.0,0.0,1.0,49.0,3.0,100.0,0.0,-1.0
71,42.0,80.0,72.0,100.0,98.0,67.0,74.0,29.0,31.0,3.0,0.0,15.0,51.0,14.0,100.0,0.0,-1.0
72,28.0,69.0,43.0,100.0,77.0,86.0,60.0,45.0,29.0,9.0,0.0,1.0,52.0,0.0,100.0,6.0,-1.0
73,55.0,76.0,70.0,100.0,95.0,78.0,72.0,50.0,40.0,25.0,0.0,3.0,40.0,0.0,100.0,2.0,-1.0
74,0.0,76.0,26.0,100.0,52.0,87.0,42.0,47.0,19.0,17.0,37.0,3.0,69.0,5.0,100.0,0.0,-1.0
75,0.0,75.0,20.0,97.0,53.0,100.0,71.0,77.0,49.0,46.0,35.0,14.0,66.0,2.0,100.0,0.0,-1.0
76,25.0,70.0,54.0,100.0,60.0,66.0,35.0,27.0,0.0,1.0,19.0,10.0,61.0,0.0,100.0,0.0,-1.0
77,47.0,65.0,63.0,100.0,77.0,72.0,49.0,31.0,11.0,1.0,0.0,0.0,50.0,1.0,100.0,3.0,-1.0
78,45.0,78.0,75.0,100.0,100.0,76.0,82.0,43.0,48.0,16.0,0.0,0.0,33.0,8.0,88.0,10.0,-1.0
79,0.0,72.0,33.0,92.0,73.0,100.0,69.0,72.0,48.0,46.0,30.0,19.0,55.0,0.0,100.0,0.0,-1.0
80,0.0,62.0,22.0,89.0,69.0,100.0,86.0,77.0,59.0,50.0,28.0,26.0,47.0,4.0,100.0,0.0,-1.0
81,55.0,95.0,78.0,100.0,71.0,60.0,41.0,27.0,0.0,0.0,1.0,26.0,52.0,21.0,100.0,4.0,-1.0
82,10.0,71.0,44.0,100.0,67.0,76.0,52.0,37.0,24.0,4.0,0.0,5.0,49.0,9.0,100.0,0.0,-1.0
