,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,labels
0,-1.33,-0.98,-0.76,1.05,1.2,-0.34,0.41,2.21,2.72,5.28,4.27,2.62,4.72,3.49,2.51,3.48,1.65,0.11,0.01,1.9,-1.08,-1.0
1,-0.82,1.43,0.17,0.2,-2.04,0.4,1.43,3.53,3.62,3.51,5.46,3.47,4.28,2.57,4.07,3.0,1.06,1.41,-0.05,-0.55,-1.06,-1.0
2,1.04,0.63,2.33,-0.89,-0.74,0.54,1.69,1.31,1.43,3.21,4.16,3.64,3.01,4.22,4.55,1.98,1.55,0.33,1.31,0.23,-0.18,-1.0
3,0.35,-0.24,1.27,-1.16,0.84,1.42,1.91,3.99,1.32,5.21,6.82,4.45,3.57,2.69,1.74,0.36,-0.42,0.07,-0.8,-0.48,-0.5,-1.0
4,0.09,-2.5,0.58,0.31,-1.28,-0.39,1.05,2.25,2.26,1.87,5.23,4.34,2.62,4.88,4.62,1.73,2.14,0.11,0.48,2.35,-0.71,-1.0
5,-1.79,-0.81,1.41,-0.51,-1.75,1.11,2.81,2.19,4.04,3.41,5.77,5.15,5.96,2.22,5.06,2.65,1.75,1.64,-0.94,1.75,-1.17,-1.0
6,-1.0,1.59,-0.79,1.62,-0.33,-0.26,1.08,1.55,0.11,0.55,4.66,3.36,3.51,6.92,3.69,4.02,3.45,2.38,0.13,1.55,2.36,-1.0
7,1.66,-0.55,-0.4,-0.63,0.88,0.82,1.45,1.61,1.73,2.7,3.92,0.51,5.15,4.14,4.24,5.35,2.93,4.78,1.77,1.12,-0.94,-1.0
8,-0.23,0.39,0.82,-0.27,0.17,-0.25,2.7,2.43,3.96,4.01,6.3,4.97,4.49,3.73,1.88,0.65,1.06,0.21,1.5,1.38,1.65,-1.0
9,0.51,-0.16,0.58,-1.54,0.91,-0.08,2.23,0.87,2.37,3.46,2.4,4.87,5.29,2.44,4.34,1.09,1.63,0.77,0.38,0.4,0.22,-1.0
10,0.05,1.59,-0.96,-0.63,-0.25,0.22,1.17,0.93,3.38,2.01,2.91,4.89,2.98,1.79,2.8,3.18,1.94,0.11,-0.78,0.02,-0.11,-1.0
11,1.22,-0.8,1.28,0.8,0.35,0.82,4.75,2.34,3.39,4.17,3.61,2.61,5.55,4.92,2.41,2.69,-0.92,-0.14,1.72,0.47,2.23,-1.0
12,0.17,0.88,1.69,-0.4,-0.85,-0.8,2.44,3.11,1.85,3.29,5.48,4.52,4.46,3.69,2.13,1.11,0.7,1.98,0.44,1.09,-0.56,-1.0
13,2.18,-0.7,0.2,1.59,0.79,2.84,1.61,3.12,3.87,5.62,5.36,4.02,4.55,1.56,3.27,2.86,0.12,1.65,2.14,1.38,-1.53,-1.0
14,1.31,-0.25,2.02,-0.27,0.92,-0.82,-0.75,1.76,-1.13,1.29,1.93,3.09,4.78,5.07,5.0,2.97,4.8,3.7,3.3,1.29,-1.06,-1.0
15,1.0,1.09,-0.01,-1.52,-0.17,0.14,0.93,3.16,2.97,3.78,4.44,3.44,5.35,3.62,3.47,2.73,2.82,0.43,-0.01,0.8,0.19,-1.0
16,0.75,2.11,-1.04,1.3,1.25,0.96,-1.26,-0.27,0.8,2.6,2.58,3.84,4.13,3.8,7.07,2.7,2.47,1.62,0.48,0.63,0.68,-1.0
17,0.43,-0.1,-1.18,0.06,-0.96,-0.59,-1.02,1.06,0.82,0.15,2.61,0.83,3.18,5.95,6.44,2.7,3.94,2.42,1.41,1.91,-0.98,-1.0
18,1.88,-0.91,-0.64,1.1,-0.38,1.41,0.51,1.13,-0.11,2.33,5.47,4.62,3.51,6.24,6.25,2.38,3.9,1.78,1.3,0.61,-0.41,-1.0
19,0.89,1.9,1.44,0.1,-0.33,1.46,2.18,2.53,3.15,3.69,5.41,3.59,2.77,2.18,2.44,2.63,0.43,0.47,0.96,1.12,0.29,-1.0
20,0.87,-0.85,-0.35,0.08,-1.23,1.05,0.56,0.47,-0.02,1.87,3.35,4.23,3.19,4.7,3.98,3.27,1.94,3.58,-0.03,-0.09,3.32,-1.0
21,-1.38,-0.17,-0.06,0.34,-0.66,0.59,1.84,2.23,4.46,5.68,4.9,5.29,2.83,3.64,1.9,0.77,0.35,1.88,-0.39,0.39,-1.19,-1.0
22,-0.72,-0.64,0.29,0.71,1.22,-0.41,2.11,2.84,1.51,2.64,3.86,5.18,2.48,2.84,3.22,3.37,2.53,0.46,0.35,-0.48,-0.95,-1.0
23,0.25,-0.44,1.22,1.48,-1.0,1.12,1.52,1.41,5.25,2.4,5.7,4.53,2.52,2.53,3.65,-0.79,1.35,1.26,1.08,0.41,-0.79,-1.0
24,-2.55,0.44,2.3,-0.63,-2.0,-1.31,0.46,2.29,1.4,3.21,3.84,3.22,4.75,2.79,3.02,4.23,-0.18,0.33,-0.78,1.17,0.05,-1.0
25,-0.16,1.57,-0.64,-0.05,0.36,-0.04,-0.45,2.54,4.02,4.61,6.04,5.78,3.3,3.25,3.22,0.94,0.67,0.98,-0.31,1.16,0.38,-1.0
26,0.34,-0.24,0.62,-0.39,-0.19,0.05,0.34,2.43,1.12,2.06,4.32,2.68,6.32,5.16,4.52,4.12,0.64,2.7,0.74,1.97,-0.43,-1.0
27,1.77,0.21,-1.04,0.13,-0.19,1.13,0.16,1.83,2.84,1.93,4.26,1.75,4.38,6.4,5.65,2.35,2.02,2.12,1.59,0.77,-0.88,-1.0
28,0.16,0.38,1.62,-0.8,-1.06,-1.7,-0.19,2.18,0.08,2.16,3.15,3.5,5.02,5.12,5.6,5.58,5.7,2.54,1.74,0.04,-0.34,-1.0
29,0.46,-2.24,-0.01,0.68,1.01,2.45,2.31,0.52,1.4,3.52,2.97,1.87,5.68,6.38,4.48,4.96,0.66,1.91,0.88,0.45,-0.22,-1.0
30,0.41,0.07,-1.62,-2.33,-0.9,1.53,0.92,2.72,3.83,4.85,2.24,4.24,5.59,3.58,2.06,1.6,2.62,1.22,1.48,2.05,0.35,-1.0
31,-1.29,0.09,-0.44,0.0,0.23,0.88,1.12,3.28,4.25,5.82,4.74,5.84,4.89,3.0,2.26,0.05,-0.81,0.58,-0.14,0.5,-1.01,-1.0
32,-1.14,1.26,-1.73,0.62,0.09,0.63,1.49,2.3,2.33,3.31,3.84,4.67,3.64,1.94,2.81,2.08,-0.14,0.44,0.88,-1.44,-0.57,-1.0
33,-1.65,0.04,-1.3,-0.19,-0.29,0.22,0.16,1.83,1.12,4.28,3.44,4.08,3.1,3.17,2.05,3.46,0.07,-1.67,0.25,0.36,0.18,-1.0
34,0.72,-1.44,-0.12,1.72,-0.07,-0.88,-1.61,-0.15,0.07,2.01,2.26,4.06,3.56,5.56,5.88,4.9,5.14,3.34,2.64,-0.72,1.14,-1.0
35,-0.06,-0.16,-0.72,0.08,-0.04,2.06,0.87,-1.01,0.76,1.76,2.71,4.24,4.91,4.74,4.93,3.81,4.34,3.22,2.22,-0.85,0.55,-1.0
36,0.46,-0.07,1.87,-0.69,-0.04,0.6,1.56,1.97,2.78,4.32,1.62,3.24,4.85,3.72,5.64,3.27,1.78,-0.04,0.7,0.54,-0.22,-1.0
37,1.87,1.16,-1.38,-0.71,-0.97,1.63,1.4,1.82,1.84,3.65,3.89,3.5,3.78,3.2,2.8,2.13,3.11,3.01,1.98,2.13,-0.5,-1.0
38,-1.38,0.42,-0.12,1.04,-0.09,-0.32,1.19,0.33,1.1,0.06,4.84,2.2,4.54,4.08,5.89,5.37,1.6,3.39,0.55,1.31,-0.01,-1.0
39,-0.96,0.18,0.34,-1.36,-1.43,0.83,2.81,2.2,3.25,2.13,3.62,5.41,3.68,2.73,2.08,2.32,2.76,1.15,0.8,1.41,-1.38,-1.0
40,-1.05,1.05,-1.8,1.24,0.97,-0.42,0.09,1.93,2.23,3.22,3.0,3.14,0.82,3.4,2.87,0.94,3.01,-0.4,2.92,-0.58,-0.82,-1.0
41,0.41,-0.14,-1.23,0.18,0.33,0.58,1.79,1.47,4.92,3.13,4.09,4.0,5.18,3.47,1.94,2.34,1.08,0.31,-0.18,-1.8,0.09,-1.0
42,1.9,-1.87,-0.39,-0.2,-0.22,0.27,1.9,2.11,4.09,5.96,7.14,4.03,2.0,3.38,2.32,1.39,-0.22,-1.03,1.39,2.24,1.49,-1.0
43,0.4,0.53,1.51,-1.06,0.55,-0.09,2.4,3.39,3.42,3.89,4.79,6.74,5.19,0.74,2.58,2.35,0.99,0.26,1.37,0.1,-0.02,-1.0
44,-0.78,-0.62,-0.05,-0.82,0.4,2.23,0.59,4.1,2.86,3.4,4.84,5.54,4.02,2.88,4.05,1.46,3.37,2.88,0.5,-0.44,-0.34,-1.0
45,0.32,-0.34,-0.38,0.81,0.59,1.52,2.5,0.69,2.22,5.22,4.51,4.88,5.29,5.41,1.41,0.63,-1.7,1.62,-0.7,-0.07,0.94,-1.0
46,-0.33,-1.03,0.86,0.15,-1.39,0.15,1.25,1.25,1.34,3.15,4.56,4.8,4.93,3.76,3.15,2.43,0.89,2.53,-0.17,0.41,1.75,-1.0
47,0.24,-1.24,-2.03,-0.05,0.57,1.4,-0.59,0.96,2.13,0.72,4.49,3.46,3.04,3.33,3.06,3.24,0.17,2.38,0.32,0.12,-0.27,-1.0
48,-0.24,1.12,-0.36,-0.44,-1.02,2.15,0.84,2.0,1.04,4.34,3.19,2.0,3.25,4.89,3.96,2.85,1.83,2.19,1.09,-1.34,0.61,-1.0
49,1.61,0.54,0.29,-1.76,0.29,2.47,2.02,4.61,3.99,5.12,5.62,5.13,4.67,3.95,2.14,0.11,0.76,0.27,-1.65,1.49,-1.55,-1.0
50,2.23,-0.09,1.1,0.49,-0.5,0.3,-0.96,0.8,0.52,1.45,3.5,4.83,3.9,3.17,5.2,4.02,2.71,2.77,2.24,1.12,-1.28,-1.0
51,-1.18,-0.03,-0.46,-0.0,-0.41,1.77,2.06,2.17,0.87,3.6,3.59,4.05,3.74,2.36,3.02,4.11,3.0,0.79,-0.61,-1.25,0.79,-1.0
52,-0.25,-0.21,-0.07,-0.2,-1.05,0.48,-0.35,0.11,2.87,-1.12,2.81,2.37,4.26,3.0,5.17,4.01,5.7,2.44,1.02,-0.54,-1.35,-1.0
53,-1.07,0.38,-0.04,0.83,0.07,1.18,-1.8,0.02,-0.1,2.55,1.24,3.36,4.0,4.4,5.58,6.61,1.79,3.24,1.79,2.6,1.52,-1.0
54,-1.98,0.2,-0.81,-1.05,-0.65,-0.49,-0.23,0.78,2.44,2.69,3.42,4.05,4.09,2.75,6.34,2.93,3.33,0.33,-0.12,1.33,1.46,-1.0
55,0.82,0.55,-0.85,-0.06,-0.45,-0.28,-0.05,2.83,-1.12,1.64,1.52,4.41,4.78,4.19,7.88,5.42,4.76,2.05,1.44,0.74,-0.64,-1.0
56,-1.47,0.6,1.39,1.71,0.22,0.63,-0.52,2.13,2.61,2.5,3.66,3.55,4.42,4.11,5.52,1.18,2.23,1.35,2.1,2.18,-0.39,-1.0
